Mark,Total Weight (kg),Number of Records,Grade,Outturn,Bags,Pockets,Weight (kg),Status
,,,TT,16IM0057,0,16,16.00,Unknown
,,,E,16IM0057,0,10,10.00,Unknown
,,,T,16IM0057,1,40,100.00,Unknown
,,,HE,16IM0057,0,51,51.00,Unknown
NGAURA COFFEE GCS,2037,8,,,,,,
,,,AA,18IM0031,7,17,437.00,Unknown
,,,AB,18IM0031,15,42,941.00,Unknown
,,,PB,18IM0031,2,19,138.00,Unknown
,,,C,18IM0031,5,27,327.00,Unknown
,,,TT,18IM0031,0,17,17.00,Unknown
,,,E,18IM0031,0,11,11.00,Unknown
,,,T,18IM0031,1,50,110.00,Unknown
,,,HE,18IM0031,0,56,56.00,Unknown
RIAIRO FARM,331,10,,,,,,
,,,AA,18MM0033,0,61,61.00,Unknown
,,,AB,18MM0033,2,12,132.00,Unknown
,,,PB,18MM0033,0,19,19.00,Unknown
,,,C,18MM0033,0,46,46.00,Unknown
,,,TT,18MM0033,0,2,2.00,Unknown
,,,E,18MM0033,0,2,1.00,Unknown
,,,T,18MM0033,0,16,15.00,Unknown
,,,HE,18MM0033,0,8,8.00,Unknown
,,,MH,18IM0032,0,39,39.00,Unknown
,,,ML,18IM0032,0,8,8.00,Unknown
TINGA SPRINGS ESTATE,720,8,,,,,,
,,,AA,18MM0105,2,35,154.00,Unknown
,,,AB,18MM0105,5,34,333.00,Unknown
,,,PB,18MM0105,0,49,49.00,Unknown
,,,C,18MM0105,1,56,115.00,Unknown
,,,TT,18MM0105,0,6,6.00,Unknown
,,,E,18MM0105,0,4,4.00,Unknown
,,,T,18MM0105,0,39,39.00,Unknown
,,,HE,18MM0105,0,20,20.00,Unknown
RECI FARM,1907,8,,,,,,
,,,AA,19IM0008,5,37,337.00,Unknown
,,,AB,19IM0008,17,30,1049.00,Unknown
,,,PB,19IM0008,1,41,101.00,Unknown
,,,C,19IM0008,5,30,329.00,Unknown
,,,TT,19IM0008,0,14,13.00,Unknown
,,,E,19IM0008,0,4,4.00,Unknown
,,,T,19IM0008,0,64,64.00,Unknown
,,,HE,19IM0008,0,11,10.00,Unknown
GIFTED FARM,2352,16,,,,,,
,,,AA,19IM0010,4,37,276.00,Unknown
,,,AB,19IM0010,14,23,862.00,Unknown
,,,PB,19IM0010,1,23,83.00,Unknown
,,,C,19IM0010,4,31,271.00,Unknown
,,,TT,19IM0010,0,11,11.00,Unknown
,,,E,19IM0010,0,3,3.00,Unknown
,,,T,19IM0010,0,53,52.00,Unknown
,,,HE,19IM0010,0,9,9.00,Unknown
,,,AA,19IM0009,2,19,139.00,Unknown
,,,AB,19IM0009,7,13,433.00,Unknown
,,,PB,19IM0009,0,42,41.00,Unknown
,,,C,19IM0009,2,16,136.00,Unknown
,,,TT,19IM0009,0,6,5.00,Unknown
,,,E,19IM0009,0,1,1.00,Unknown
,,,T,19IM0009,0,26,26.00,Unknown
,,,HE,19IM0009,0,4,4.00,Unknown
